customer_id,account_age_months,monthly_spend,contract_type,region,customer_segment,product_usage_score,support_ticket_count,avg_response_time_hours,avg_resolution_time_hours,satisfaction_score,failed_interactions,previous_escalations,renewal_due_days,renewal_status,severity_low_count,severity_medium_count,severity_high_count,severity_critical_count,risk_label
CUST-005235,50,7500.99,monthly,North America,Enterprise,54.37,10,4.45,16.33,4.56,2,2,127,not_due,5,4,1,0,0
CUST-010928,63,4577.19,monthly,Europe,Enterprise,100.0,7,7.64,22.48,4.77,1,2,190,not_due,1,5,1,0,0
CUST-013963,49,5133.09,annual,APAC,Enterprise,82.11,3,7.88,25.06,4.99,1,0,314,not_due,1,2,0,0,0
CUST-005217,27,886.67,multi_year,Latin America,SMB,64.54,10,12.58,31.38,4.0,3,3,241,not_due,4,5,1,0,1
CUST-012620,38,26369.63,annual,North America,Strategic,67.1,12,12.53,,4.42,1,0,275,not_due,7,3,1,1,0
CUST-013046,19,9669.78,annual,North America,Enterprise,49.98,6,11.78,60.55,4.35,0,1,30,due_soon,4,0,1,1,0
CUST-004955,14,1462.91,annual,North America,SMB,91.84,1,4.6,17.26,4.68,3,0,234,not_due,0,1,0,0,0
CUST-004420,67,2078.22,multi_year,APAC,Mid-Market,88.67,3,4.57,26.17,5.0,0,0,41,due_soon,1,0,2,0,0
CUST-009054,64,9561.63,monthly,APAC,Enterprise,55.99,8,18.31,84.25,3.38,3,0,124,not_due,5,2,0,1,1
CUST-005240,75,2860.21,annual,APAC,Mid-Market,78.46,6,6.88,24.89,5.0,3,0,35,due_soon,2,4,0,0,0
CUST-001284,61,3644.05,annual,North America,Mid-Market,60.13,4,11.94,55.49,3.96,2,0,180,not_due,2,0,1,1,0
CUST-002246,36,417.22,,Middle East & Africa,SMB,89.1,0,4.37,11.29,,1,0,65,upcoming,0,0,0,0,0
CUST-008153,91,4111.06,annual,APAC,Mid-Market,32.44,11,13.09,56.45,2.93,8,0,323,not_due,6,0,4,1,1
CUST-011919,41,19249.49,annual,Latin America,Strategic,73.9,12,4.62,11.83,3.77,1,0,116,upcoming,9,3,0,0,0
CUST-014932,58,830.32,monthly,Europe,SMB,80.92,5,4.82,11.67,4.84,0,1,314,not_due,3,2,0,0,0
CUST-014409,17,1719.81,annual,North America,SMB,81.42,7,8.12,36.45,4.78,1,0,16,due_soon,3,2,1,1,0
CUST-001268,17,14663.34,monthly,Middle East & Africa,Strategic,71.01,6,20.22,70.88,4.92,0,0,127,not_due,4,1,1,0,0
CUST-002916,35,871.4,annual,Europe,SMB,55.41,6,8.62,30.74,3.89,2,0,126,not_due,3,2,1,0,0
CUST-002601,13,6130.69,annual,Europe,Mid-Market,72.44,8,6.8,28.03,4.14,1,2,51,upcoming,6,1,0,1,0
CUST-000819,45,1952.75,monthly,Europe,Mid-Market,57.37,6,12.18,47.07,4.51,3,0,323,not_due,2,4,0,0,0
CUST-013733,108,3022.32,monthly,North America,Mid-Market,72.97,7,12.35,41.11,4.43,0,2,263,not_due,2,3,2,0,0
CUST-010818,93,6931.01,annual,APAC,Enterprise,73.29,3,10.95,46.86,4.57,2,0,348,not_due,1,1,1,0,0
CUST-002422,37,910.87,annual,North America,SMB,51.35,6,8.28,25.29,4.58,1,2,119,upcoming,1,5,0,0,0
CUST-013912,62,2381.57,monthly,Europe,SMB,74.2,5,5.41,27.63,4.08,2,0,61,upcoming,2,1,2,0,0
CUST-002005,10,858.59,annual,Europe,SMB,76.71,4,12.74,36.9,4.21,1,1,288,not_due,0,3,1,0,0
CUST-013062,38,26939.11,annual,APAC,Strategic,88.26,10,2.64,13.37,4.87,1,1,275,not_due,6,3,1,0,0
CUST-009793,84,1214.51,multi_year,Europe,SMB,63.51,7,8.96,41.11,4.78,0,1,352,not_due,1,3,3,0,0
CUST-006333,23,2871.85,multi_year,Europe,Mid-Market,43.84,4,2.49,8.08,4.59,1,0,102,upcoming,3,1,0,0,0
CUST-005251,28,5507.39,annual,North America,Mid-Market,48.0,9,9.27,51.45,4.08,5,1,197,not_due,2,3,3,1,1
CUST-012872,57,1182.67,annual,APAC,SMB,94.31,2,5.47,13.0,5.0,0,0,169,not_due,1,1,0,0,0
CUST-004083,68,11248.88,annual,North America,Enterprise,43.26,6,3.36,11.34,4.34,2,1,349,not_due,4,2,0,0,0
CUST-005065,37,23590.35,annual,APAC,Strategic,49.62,3,7.18,29.44,5.0,2,2,343,not_due,2,0,0,1,0
CUST-003191,74,1686.83,multi_year,Europe,SMB,73.32,3,8.03,26.51,,1,0,149,not_due,1,0,2,0,0
CUST-004072,77,3148.0,multi_year,Europe,Mid-Market,83.02,2,8.35,30.47,4.71,2,0,37,due_soon,2,0,0,0,0
CUST-001848,43,936.23,monthly,APAC,Mid-Market,52.26,8,8.35,37.5,4.11,3,0,199,not_due,4,2,2,0,0
CUST-005630,72,514.09,multi_year,Latin America,SMB,67.22,5,7.66,28.35,4.78,0,0,-13,overdue,1,2,2,0,0
CUST-001394,47,1014.02,multi_year,Europe,SMB,64.94,5,9.78,33.9,3.5,3,4,181,not_due,2,1,1,1,1
CUST-013592,40,1940.8,annual,APAC,Mid-Market,45.6,6,9.72,25.64,4.07,3,0,-20,overdue,4,1,1,0,0
CUST-011653,21,3022.77,multi_year,APAC,Mid-Market,59.51,5,6.75,36.77,3.77,2,0,110,upcoming,1,1,3,0,0
CUST-013590,53,4427.53,multi_year,Middle East & Africa,Mid-Market,66.56,4,10.07,44.91,4.64,1,0,109,upcoming,1,1,1,1,0
CUST-001872,40,3095.65,annual,North America,Mid-Market,61.84,5,15.2,43.19,4.0,4,1,172,not_due,3,1,1,0,1
CUST-007978,43,35992.25,annual,North America,Strategic,80.81,11,9.97,42.09,4.87,1,0,119,upcoming,5,3,1,2,0
CUST-009018,37,3932.08,monthly,North America,Mid-Market,66.39,3,9.28,23.3,4.92,0,0,163,not_due,2,1,0,0,0
CUST-005825,48,500.45,annual,Europe,SMB,19.3,6,7.96,36.24,4.01,3,0,278,not_due,3,2,1,0,0
CUST-011777,47,733.48,annual,APAC,SMB,56.73,8,8.17,24.48,4.27,3,0,105,upcoming,5,1,2,0,0
CUST-002806,120,1080.07,multi_year,North America,SMB,55.09,8,8.17,38.64,4.21,3,0,244,not_due,1,5,2,0,0
CUST-006499,32,767.44,annual,Europe,SMB,73.84,2,8.15,16.56,4.78,3,0,333,not_due,2,0,0,0,0
