customer_id,account_age_months,monthly_spend,contract_type,region,customer_segment,product_usage_score,support_ticket_count,avg_response_time_hours,avg_resolution_time_hours,satisfaction_score,failed_interactions,previous_escalations,renewal_due_days,renewal_status,severity_low_count,severity_medium_count,severity_high_count,severity_critical_count,risk_label
CUST-000001,31,8775.34,annual,North America,Enterprise,77.6,7,12.36,38.12,4.33,3,1,175,not_due,2,3,2,0,0
CUST-000002,59,4036.04,monthly,Europe,Mid-Market,56.86,6,4.03,20.66,4.53,3,0,127,not_due,3,2,1,0,0
CUST-000003,76,7196.77,monthly,Middle East & Africa,Enterprise,61.96,7,26.52,78.72,3.96,2,3,13,due_soon,3,2,2,0,1
CUST-000004,47,13406.81,multi_year,North America,Enterprise,68.79,6,7.1,26.44,5.0,2,0,3,due_soon,2,2,2,0,0
CUST-000005,39,1688.8,annual,North America,SMB,67.12,8,5.06,17.03,4.11,3,0,363,not_due,6,1,1,0,0
CUST-000006,67,16534.89,monthly,Europe,Strategic,45.58,9,4.3,21.56,4.54,2,0,330,not_due,4,2,3,0,0
CUST-000007,35,7686.65,monthly,North America,Enterprise,78.52,4,5.47,27.85,4.46,3,0,268,not_due,2,0,1,1,0
CUST-000008,102,13952.74,multi_year,APAC,Enterprise,73.86,11,11.54,44.41,4.28,2,0,305,not_due,7,2,2,0,0
CUST-000009,27,406.43,annual,Europe,SMB,79.23,0,8.63,32.21,4.44,0,0,295,not_due,0,0,0,0,0
CUST-000010,10,2636.55,,Latin America,Mid-Market,75.57,2,6.94,34.16,5.0,0,0,321,not_due,0,0,2,0,0
CUST-000011,17,626.68,monthly,APAC,SMB,23.53,5,,46.0,3.09,3,1,274,not_due,2,0,3,0,1
CUST-000012,34,14724.04,monthly,Europe,Strategic,73.8,3,13.6,60.85,4.62,2,0,77,upcoming,1,0,2,0,0
CUST-000013,120,3027.48,multi_year,Latin America,Mid-Market,86.15,2,6.9,,4.9,1,0,296,not_due,1,0,1,0,0
CUST-000014,24,12844.35,annual,North America,Enterprise,52.62,4,3.17,16.16,4.58,2,1,358,not_due,0,2,2,0,0
CUST-000015,101,3247.83,annual,Europe,Mid-Market,67.13,4,7.01,27.98,4.46,3,1,187,not_due,2,0,1,1,0
CUST-000016,47,1409.77,multi_year,Europe,SMB,66.32,3,13.53,40.07,4.2,4,1,-9,overdue,1,1,1,0,1
CUST-000017,24,3928.43,annual,North America,Mid-Market,73.86,5,5.57,27.79,3.91,3,1,326,not_due,3,0,2,0,0
CUST-000018,36,1096.44,multi_year,North America,SMB,69.6,1,15.36,40.42,5.0,0,0,208,not_due,0,0,1,0,0
CUST-000019,71,10707.57,monthly,Europe,Enterprise,32.57,10,6.17,25.42,3.04,3,0,360,not_due,3,4,3,0,1
CUST-000020,39,3610.92,annual,Europe,Mid-Market,50.45,10,13.64,67.53,3.28,3,0,276,not_due,3,4,3,0,1
CUST-000021,24,32698.3,multi_year,APAC,Enterprise,82.65,5,7.69,19.54,4.57,2,0,207,not_due,1,3,1,0,0
CUST-000022,34,1644.73,multi_year,North America,SMB,79.64,3,7.72,17.58,5.0,1,2,103,upcoming,3,0,0,0,0
CUST-000023,80,22919.14,annual,North America,Strategic,100.0,9,9.52,52.29,3.58,4,1,289,not_due,6,1,1,1,1
CUST-000024,120,4915.66,annual,Middle East & Africa,Enterprise,67.54,3,9.35,34.99,4.08,5,1,134,not_due,1,0,1,1,1
CUST-000025,69,11393.54,multi_year,North America,Enterprise,43.01,5,10.08,32.34,3.64,3,1,-11,overdue,3,2,0,0,0
CUST-000026,105,356.58,annual,Middle East & Africa,SMB,91.82,3,9.98,38.53,5.0,0,0,133,not_due,1,2,0,0,0
CUST-000027,68,2878.96,monthly,APAC,Mid-Market,79.84,2,12.65,41.76,4.4,1,0,263,not_due,0,2,0,0,0
CUST-000028,68,793.04,annual,Europe,SMB,54.08,8,9.34,40.77,3.65,3,1,168,not_due,5,1,2,0,1
CUST-000029,59,733.05,annual,North America,SMB,81.47,1,13.31,43.97,4.72,2,0,104,upcoming,0,1,0,0,0
CUST-000030,54,3058.75,annual,Latin America,Mid-Market,72.49,2,9.27,30.42,4.94,1,1,75,upcoming,1,1,0,0,0
CUST-000031,28,8812.6,multi_year,Latin America,Enterprise,57.61,6,5.64,17.07,4.47,1,0,87,upcoming,3,3,0,0,0
CUST-000032,44,25772.01,annual,APAC,Strategic,76.48,8,11.37,47.85,3.83,1,0,144,not_due,3,3,1,1,0
CUST-000033,69,557.19,monthly,APAC,SMB,52.52,4,5.65,20.66,4.16,3,1,97,upcoming,2,1,0,1,0
CUST-000034,54,700.99,monthly,Europe,SMB,37.76,5,10.38,29.19,4.68,1,1,43,due_soon,3,1,1,0,1
CUST-000035,15,6780.46,multi_year,North America,Mid-Market,69.49,2,19.54,68.18,4.51,2,0,-5,overdue,2,0,0,0,0
CUST-000036,80,760.14,monthly,Middle East & Africa,SMB,73.64,5,12.04,35.04,4.53,2,0,199,not_due,4,1,0,0,0
CUST-000037,61,1890.52,multi_year,North America,SMB,71.63,5,4.89,19.39,4.87,2,0,133,not_due,4,1,0,0,0
CUST-000038,77,2890.11,monthly,Europe,Mid-Market,51.52,4,7.37,44.34,4.54,4,0,305,not_due,0,1,2,1,0
CUST-000039,23,473.18,annual,Europe,SMB,76.67,2,1.51,7.39,5.0,0,0,155,not_due,1,0,1,0,0
CUST-000040,15,2846.03,multi_year,APAC,Mid-Market,68.81,6,11.55,48.94,4.89,1,0,216,not_due,3,1,2,0,0
CUST-000041,39,1699.83,annual,APAC,Mid-Market,52.2,7,6.7,18.41,4.73,0,0,325,not_due,4,2,1,0,0
CUST-000042,55,18031.41,multi_year,Europe,Enterprise,76.35,9,10.13,31.11,3.42,5,1,278,not_due,2,5,2,0,1
CUST-000043,96,9220.94,monthly,North America,Enterprise,58.64,3,7.11,27.59,4.02,2,1,8,due_soon,2,1,0,0,0
CUST-000044,51,1460.86,annual,North America,SMB,98.72,1,3.82,18.34,5.0,1,0,-17,overdue,0,0,1,0,0
CUST-000045,119,16736.4,annual,North America,Enterprise,82.61,4,5.66,13.22,5.0,1,0,83,upcoming,2,2,0,0,0
CUST-000046,33,10309.82,multi_year,Middle East & Africa,Enterprise,86.19,6,12.08,46.25,4.62,2,0,333,not_due,2,4,0,0,0
CUST-000047,59,5061.13,monthly,North America,Mid-Market,32.4,5,10.03,44.65,4.29,3,0,39,due_soon,1,2,2,0,1
CUST-000048,13,771.69,monthly,Middle East & Africa,SMB,74.99,4,12.89,31.04,4.12,0,1,106,upcoming,3,0,1,0,0
CUST-000049,72,3684.63,annual,North America,Mid-Market,82.65,0,9.79,38.27,5.0,0,0,-26,overdue,0,0,0,0,0
CUST-000050,93,937.74,multi_year,Latin America,SMB,44.6,4,10.81,43.14,3.91,2,0,331,not_due,1,2,0,1,0
CUST-000051,53,1727.4,multi_year,Europe,SMB,57.85,8,15.72,37.07,4.09,3,1,-2,overdue,2,5,1,0,1
CUST-000052,20,1110.85,multi_year,APAC,SMB,59.33,6,8.32,45.3,4.27,1,0,133,not_due,3,0,2,1,0
CUST-000053,44,8623.38,annual,Europe,Enterprise,85.41,7,20.57,70.2,4.57,1,1,19,due_soon,5,1,0,1,0
CUST-000054,33,1973.36,annual,APAC,Mid-Market,87.8,3,13.83,61.89,4.69,1,0,88,upcoming,1,1,1,0,0
CUST-000055,35,10771.14,multi_year,APAC,Enterprise,59.48,4,9.48,27.7,3.32,2,1,218,not_due,2,1,1,0,0
CUST-000056,44,,multi_year,North America,Enterprise,52.4,8,7.75,44.23,3.94,5,2,68,upcoming,3,2,2,1,1
CUST-000057,20,3264.04,multi_year,Latin America,Mid-Market,35.71,9,11.11,51.14,3.58,4,2,180,not_due,1,5,2,1,1
CUST-000058,51,3014.55,multi_year,APAC,Mid-Market,44.24,6,6.65,,3.65,2,2,83,upcoming,4,0,1,1,0
CUST-000059,34,1019.44,multi_year,North America,SMB,59.9,2,11.09,26.6,4.84,1,0,49,upcoming,1,1,0,0,0
CUST-000060,57,1121.46,monthly,North America,SMB,51.19,8,10.15,48.02,4.01,1,0,39,due_soon,3,2,2,1,1
CUST-000061,57,4514.4,monthly,Europe,Mid-Market,61.91,4,20.77,81.43,4.11,1,1,340,not_due,1,3,0,0,0
CUST-000062,23,2337.82,multi_year,Latin America,Mid-Market,82.16,3,9.63,20.65,4.63,1,0,193,not_due,0,3,0,0,0
CUST-000063,37,2605.6,annual,APAC,Mid-Market,70.96,1,5.64,19.05,5.0,1,1,152,not_due,0,0,1,0,0
CUST-000064,36,8483.17,monthly,North America,Enterprise,50.72,7,8.77,26.8,4.48,4,2,313,not_due,3,3,1,0,1
CUST-000065,43,3275.45,annual,APAC,Mid-Market,65.25,5,15.94,58.33,4.87,1,1,177,not_due,3,2,0,0,0
CUST-000066,87,4028.78,annual,North America,Mid-Market,52.96,6,20.41,88.72,3.69,3,2,158,not_due,1,3,2,0,1
CUST-000067,30,3679.38,multi_year,North America,Mid-Market,64.45,6,9.92,39.25,4.32,4,0,133,not_due,3,1,1,1,1
CUST-000068,37,1134.6,multi_year,APAC,SMB,67.68,8,16.4,82.23,3.94,0,0,313,not_due,3,3,0,2,0
CUST-000069,57,,monthly,North America,SMB,74.9,4,1.92,18.9,5.0,0,1,293,not_due,2,0,1,1,0
CUST-000070,46,3156.71,annual,North America,Mid-Market,82.5,1,9.12,37.14,4.68,4,1,324,not_due,1,0,0,0,0
CUST-000071,71,545.12,monthly,North America,SMB,47.9,7,13.47,48.68,3.8,2,0,237,not_due,4,2,1,0,0
CUST-000072,56,6217.62,multi_year,North America,Mid-Market,72.31,3,4.55,14.56,5.0,2,0,363,not_due,3,0,0,0,0
CUST-000073,37,12494.27,monthly,North America,Enterprise,74.1,9,20.93,55.34,3.92,4,1,192,not_due,5,2,2,0,1
CUST-000074,48,1071.12,annual,North America,SMB,64.67,3,6.54,19.42,4.65,2,0,181,not_due,2,1,0,0,0
CUST-000075,81,1096.84,annual,Europe,SMB,60.92,7,5.95,20.3,4.63,1,0,92,upcoming,2,4,1,0,0
CUST-000076,21,966.49,annual,Latin America,SMB,84.08,4,14.79,31.3,4.79,0,0,189,not_due,3,1,0,0,0
CUST-000077,22,1229.36,annual,North America,SMB,77.95,2,24.91,101.74,4.73,1,2,-27,overdue,0,1,1,0,0
CUST-000078,24,3196.8,annual,Latin America,Mid-Market,66.33,6,8.1,40.2,4.56,0,0,287,not_due,1,3,0,2,0
